Unnamed: 0,Ticker,Name,Last,SectorCode,IndCode,Price,MktCap,Vol3MAvg,Pr52W%Chg,Pr4W%Chg,Pr4WRel%ChgInd,Pr4WRel%Chg,Yield,PEExclXorPTM,PEG,PERelative,ProjPECurFY,ProjPENextFY,Pr2BookQ,Pr2NetFrCashFlTTM,Pr2SalesTTM
331,MEDP:USA 3M 1Y 3YMEDP:USA3M1Y3Y Customize...,Medpace Holdings Inc,135.36,HEALTHCARE,HCAREOUTSOURCE,135.36,4555.05,6.61,-25.88,1.17,1.4,7.23,0.0,40.05,,0.85,22.89,20.73,8.14,20.75,4.06
332,MEI:USA 3M 1Y 3YMEI:USA3M1Y3Y Customize...,Methode Electronics Inc,37.69,CYCLICALS,VEHICLE,37.69,1391.9,4.16,-20.54,-13.77,-2.89,-7.71,1.49,12.67,1.53,14.13,14.01,13.16,1.54,36.4,1.2
333,MELI:USA 3M 1Y 3YMELI:USA3M1Y3Y Customize...,MercadoLibre Inc,635.22,NONCYCLICAL,GENMERCH,635.22,32001.1,13.11,-56.97,-20.75,0.27,-14.69,0.0,,,,93.81,50.63,20.15,99.37,4.03
334,MEOH:USA 3M 1Y 3YMEOH:USA3M1Y3Y Customize...,Methanex Corp,39.97,MATERIALS,CHEMCOMMOD,39.97,2914.32,9.83,19.03,-20.06,-3.14,-14.0,1.45,,,-1.38,5.91,8.83,1.47,4.63,0.65
335,MERC:USA 3M 1Y 3YMERC:USA3M1Y3Y Customize...,Mercer International Inc,13.34,MATERIALS,WOODPAPER,13.34,882.2,7.4,5.87,-10.29,-2.81,-4.23,2.25,,,-1.19,3.79,5.92,1.15,25.11,0.45
336,MESA:USA 3M 1Y 3YMESA:USA3M1Y3Y Customize...,Mesa Air Group Inc,2.26,INDUSTRIAL,PASSENGERTRANS,2.26,81.65,9.75,-75.93,-25.17,-9.3,-19.11,0.0,10.67,,,,,0.19,2.64,0.15
337,MESO:USA 3M 1Y 3YMESO:USA3M1Y3Y Customize...,Mesoblast Ltd,2.49,HEALTHCARE,BIOPHARMAOTHER,2.49,323.54,1.46,-70.6,-30.45,-1.84,-24.39,0.0,,,,,,0.63,,32.41
338,MET:USA 3M 1Y 3YMET:USA3M1Y3Y Customize...,Metlife Inc.,60.87,FINANCIAL,INSURANCE,60.87,49597.21,90.77,1.99,-2.44,1.28,3.62,3.29,54.07,3.42,0.67,8.06,7.35,0.94,4.41,0.71
339,MFA:USA 3M 1Y 3YMFA:USA3M1Y3Y Customize...,MFA Financial Inc,10.53,FINANCIAL,REIT,10.53,276.51,37.07,-44.81,-20.41,-1.94,-14.35,16.71,7.02,,,14.5,5.75,0.12,14.87,0.46
340,MFC:USA 3M 1Y 3YMFC:USA3M1Y3Y Customize...,Manulife Financial Corp,16.49,FINANCIAL,INSURANCE,16.49,31809.21,97.27,-15.52,-6.84,1.28,-0.78,6.18,10.68,,-2.62,6.53,5.89,0.79,2.1,0.7
341,MFG:USA 3M 1Y 3YMFG:USA3M1Y3Y Customize...,Mizuho Financial Group Inc,2.2,FINANCIAL,BANKSINTL,2.2,27880.5,28.65,-25.42,-5.17,-1.2,0.89,5.98,2.52,0.74,10.86,6.56,6.2,0.37,,0.85
342,MFGP:USA 3M 1Y 3YMFGP:USA3M1Y3Y Customize...,Micro Focus International PLC,4.24,TECH,SOFTW,4.24,1423.14,8.43,-40.03,-6.19,-1.68,-0.14,6.86,,,,3.57,3.52,0.5,25.62,0.49
343,MFIN:USA 3M 1Y 3YMFIN:USA3M1Y3Y Customize...,Medallion Financial Corp.,6.62,FINANCIAL,FINSPECIAL,6.62,168.86,2.19,-27.01,-12.08,-6.04,-6.03,4.83,,0.08,,4.66,3.39,0.57,2.07,0.84
344,MG:USA 3M 1Y 3YMG:USA3M1Y3Y Customize...,Mistras Group Inc,6.01,BIZSVCE,PROSVCE,6.01,178.62,2.12,-42.87,11.5,0.01,17.56,0.0,,0.41,,14.2,7.94,0.9,11.43,0.26
345,MGA:USA 3M 1Y 3YMGA:USA3M1Y3Y Customize...,Magna International Inc,54.87,CYCLICALS,VEHICLE,54.87,16039.8,26.43,-40.17,-12.54,-2.89,-6.48,3.28,26.35,0.54,18.4,11.01,7.33,1.41,92.18,0.46
346,MGEE:USA 3M 1Y 3YMGEE:USA3M1Y3Y Customize...,MGE Energy Inc,74.29,UTIL,ENERGYUTIL,74.29,2686.55,2.78,-1.88,-8.31,-1.39,-2.25,2.09,26.24,3.87,50.1,23.77,22.38,2.56,,4.15
347,MGI:USA 3M 1Y 3YMGI:USA3M1Y3Y Customize...,MoneyGram International Inc,9.89,FINANCIAL,FINSPECIAL,9.89,952.03,52.48,-4.07,4.77,-6.04,10.83,0.0,,,,18.78,12.52,,,0.77
348,MGM:USA 3M 1Y 3YMGM:USA3M1Y3Y Customize...,MGM Resorts International,27.95,CONSUMERSVCE,HOSPITALITY,27.95,12034.21,118.04,-33.59,-16.94,-0.05,-10.88,0.04,,0.4,7.19,28.35,14.02,2.44,9.01,1.14
349,MGPI:USA 3M 1Y 3YMGPI:USA3M1Y3Y Customize...,MGP Ingredients Inc,93.14,NONCYCLICAL,FOODDRINKMFR,93.14,2047.69,2.83,46.75,-0.66,3.06,5.4,0.52,23.0,,22.33,20.98,19.29,3.01,55.5,2.87
350,MGRC:USA 3M 1Y 3YMGRC:USA3M1Y3Y Customize...,McGrath RentCorp,74.43,FINANCIAL,FINSPECIAL,74.43,1811.25,1.59,-7.08,-7.56,-6.04,-1.5,2.45,20.21,1.29,71.57,17.66,15.74,2.47,82.87,2.85
351,MGTA:USA 3M 1Y 3YMGTA:USA3M1Y3Y Customize...,Magenta Therapeutics Inc,1.1,HEALTHCARE,BIOPHARMANONSYS,1.1,64.68,5.52,-89.65,-24.66,1.99,-18.6,0.0,,,,,,0.43,,
352,MGTX:USA 3M 1Y 3YMGTX:USA3M1Y3Y Customize...,Meiragtx Holdings plc,7.32,HEALTHCARE,BIOPHARMASYS,7.32,327.28,3.43,-52.96,-9.52,2.32,-3.46,0.0,,,,,,2.02,,8.41
353,MGY:USA 3M 1Y 3YMGY:USA3M1Y3Y Customize...,Magnolia Oil & Gas Corp,23.77,ENERGY,FOSSILFUEL,23.77,5303.97,41.93,61.7,-1.16,2.26,4.9,1.68,25.03,0.49,,5.58,6.47,4.85,7.59,3.5
354,MHK:USA 3M 1Y 3YMHK:USA3M1Y3Y Customize...,Mohawk Industries Inc.,119.93,MATERIALS,MATCONSTR,119.93,7620.23,13.74,-35.93,-13.85,-0.97,-7.79,0.0,22.73,0.6,2.13,7.7,7.19,0.94,18.84,0.67
355,MHLD:USA 3M 1Y 3YMHLD:USA3M1Y3Y Customize...,Maiden Holdings Ltd,2.08,FINANCIAL,INSURANCE,2.08,181.08,3.95,-41.57,-1.89,1.28,4.17,0.0,10.65,,,,,0.84,,2.28
356,MHO:USA 3M 1Y 3YMHO:USA3M1Y3Y Customize...,M/I Homes Inc,35.89,CYCLICALS,HOMEBUILDMANUF,35.89,1015.28,6.72,-41.45,-21.57,-10.22,-15.51,0.0,7.38,,-5.45,2.23,2.02,0.61,,0.28
357,MIC:USA 3M 1Y 3YMIC:USA3M1Y3Y Customize...,Macquarie Infrastructure Holdings LLC,3.8,UTIL,ENERGYUTIL,3.8,337.46,24.95,-90.26,-0.26,-1.39,5.8,0.0,,,,,,1.11,,0.71
358,MIDD:USA 3M 1Y 3YMIDD:USA3M1Y3Y Customize...,Middleby Corp (The),124.03,INDUSTRIAL,MACHINE,124.03,6746.21,12.57,-25.2,-11.41,-0.2,-5.35,0.0,43.37,,14.53,13.02,11.47,2.88,24.04,2.0
359,MIND:USA 3M 1Y 3YMIND:USA3M1Y3Y Customize...,Mind Technology Inc,0.87,ENERGY,OILGASSUPPORT,0.87,11.99,1.59,-54.93,-6.78,-2.54,-0.72,0.0,,,,,,,,0.43
360,MIST:USA 3M 1Y 3YMIST:USA3M1Y3Y Customize...,Milestone Pharmaceuticals USA Inc,5.8,HEALTHCARE,BIOPHARMASYS,5.8,173.52,1.77,-2.19,7.81,2.32,13.87,0.0,,,,,,2.43,,16.33
361,MITO:USA 3M 1Y 3YMITO:USA3M1Y3Y Customize...,Stealth BioTherapeutics Corp,0.32,HEALTHCARE,BIOPHARMASYS,0.32,16.19,53.78,-78.33,39.01,2.32,45.07,0.0,,,,,,,,
362,MITT:USA 3M 1Y 3YMITT:USA3M1Y3Y Customize...,AG Mortgage Investment Trust Inc,6.66,FINANCIAL,REIT,6.66,159.27,4.11,-50.88,-13.95,-1.94,-7.89,12.61,1.79,,0.16,8.4,5.6,0.49,2.29,1.59
363,MKC:USA 3M 1Y 3YMKC:USA3M1Y3Y Customize...,McCormick & Co Inc,82.54,NONCYCLICAL,FOODDRINKMFR,82.54,22127.03,25.92,-5.31,-7.71,3.06,-1.65,1.79,31.42,4.65,64.52,26.12,24.26,4.86,95.5,3.51
364,MKL:USA 3M 1Y 3YMKL:USA3M1Y3Y Customize...,Markel Corp,1282.2,FINANCIAL,INSURANCE,1282.2,17399.45,1.15,8.28,-5.36,1.28,0.7,0.0,6.01,,1.62,17.03,14.71,1.3,8.07,1.39
365,MKSI:USA 3M 1Y 3YMKSI:USA3M1Y3Y Customize...,MKS Instruments Inc,100.36,TECH,SEMIEQUIPSVCE,100.36,5580.02,13.0,-40.85,-13.54,-3.45,-7.48,0.88,23.99,2.72,2.59,9.78,8.78,1.85,13.15,1.87
366,MLAB:USA 3M 1Y 3YMLAB:USA3M1Y3Y Customize...,Mesa Laboratories Inc,188.27,INDUSTRIAL,MACHINE,188.27,991.36,0.66,-28.22,-11.26,-0.2,-5.2,0.34,441.4,,,25.48,22.15,2.51,31.44,5.37
367,MLI:USA 3M 1Y 3YMLI:USA3M1Y3Y Customize...,Mueller Industries Inc.,50.86,MATERIALS,METAL,50.86,2911.18,6.56,17.16,-3.77,-3.1,2.29,1.97,14.75,,-1.79,,,2.11,8.49,0.73
368,MLM:USA 3M 1Y 3YMLM:USA3M1Y3Y Customize...,Martin Marietta Materials Inc.,303.56,MATERIALS,MATCONSTR,303.56,18942.14,9.43,-11.3,-6.5,-0.97,-0.44,0.8,30.84,1.27,60.56,22.6,17.89,2.96,37.08,3.36
369,MLR:USA 3M 1Y 3YMLR:USA3M1Y3Y Customize...,Miller Industries Inc/TN,23.43,INDUSTRIAL,TRANSPORTEQUIP,23.43,267.49,1.23,-40.8,-2.05,-1.25,4.01,3.07,17.13,,81.69,,,0.93,,0.35
370,MMC:USA 3M 1Y 3YMMC:USA3M1Y3Y Customize...,Marsh & McLennan Companies Inc,144.44,BIZSVCE,PROSVCE,144.44,72525.73,40.26,5.94,-4.89,0.01,1.17,1.48,31.06,2.22,7.87,21.14,19.18,6.72,35.81,3.62
371,MMI:USA 3M 1Y 3YMMI:USA3M1Y3Y Customize...,Marcus & Millichap Inc,35.8,FINANCIAL,REALESTATESVCE,35.8,1424.68,4.75,-10.39,-10.95,-3.09,-4.89,0.0,33.35,1.55,-5.79,9.57,7.77,2.15,6.53,1.01
372,MMLP:USA 3M 1Y 3YMMLP:USA3M1Y3Y Customize...,Martin Midstream Partners LP,3.78,ENERGY,DOWNSTREAMENERGY,3.78,146.8,3.04,19.24,-8.7,0.13,-2.64,0.53,,,,,,,4.6,0.15
373,MMM:USA 3M 1Y 3YMMM:USA3M1Y3Y Customize...,3M Co,129.84,MATERIALS,MATOTHER,129.84,73886.6,60.8,-33.49,-11.65,-3.94,-5.59,4.59,20.32,1.5,-6.95,12.12,11.51,5.0,45.36,2.11
374,MMP:USA 3M 1Y 3YMMP:USA3M1Y3Y Customize...,Magellan Midstream Partners LP,47.27,ENERGY,MIDSTREAMENERGY,47.27,10000.51,23.98,-7.28,-3.08,-5.26,2.98,8.78,14.24,5.75,26.39,11.02,10.04,5.58,,3.37
375,MMS:USA 3M 1Y 3YMMS:USA3M1Y3Y Customize...,MAXIMUS Inc.,59.28,HEALTHCARE,HCARESUPPORT,59.28,3652.24,8.0,-35.44,-6.81,0.07,-0.75,1.89,20.54,,-6.22,19.47,14.64,2.38,15.4,0.79
376,MMSI:USA 3M 1Y 3YMMSI:USA3M1Y3Y Customize...,Merit Medical Systems Inc,51.99,HEALTHCARE,MEDDEVICESGEN,51.99,2945.49,7.8,-15.57,-13.26,-1.93,-7.2,0.0,967.59,1.22,2.33,20.87,18.8,2.83,29.23,2.71
377,MMYT:USA 3M 1Y 3YMMYT:USA3M1Y3Y Customize...,MakeMyTrip Ltd,26.0,CONSUMERSVCE,HOSPITALITY,26.0,2723.06,7.33,-13.3,3.13,-0.05,9.19,0.0,,,,,138.48,3.16,686.27,9.3
378,MNRL:USA 3M 1Y 3YMNRL:USA3M1Y3Y Customize...,Brigham Minerals Inc,27.19,FINANCIAL,INVESTSVCE,27.19,1396.18,12.43,29.54,2.84,5.55,8.9,2.35,,,,9.13,10.47,2.27,,6.83
379,MNST:USA 3M 1Y 3YMNST:USA3M1Y3Y Customize...,Monster Beverage Corp,88.12,NONCYCLICAL,FOODDRINKMFR,88.12,46672.06,64.02,-4.26,1.57,3.06,7.63,0.0,33.8,2.76,32.4,32.66,27.58,6.87,51.89,8.11
380,MO:USA 3M 1Y 3YMO:USA3M1Y3Y Customize...,Altria Group Inc,45.31,NONCYCLICAL,TOBACCO,45.31,82111.31,226.07,-4.19,-11.31,-4.86,-5.25,7.95,20.5,1.63,19.85,9.33,8.79,,46.75,3.91
381,MOD:USA 3M 1Y 3YMOD:USA3M1Y3Y Customize...,Modine Manufacturing Co,10.55,INDUSTRIAL,MACHINE,10.55,548.6,5.56,-34.8,26.5,-0.2,32.56,0.0,,0.26,,6.53,5.18,1.23,,0.27
382,MODN:USA 3M 1Y 3YMODN:USA3M1Y3Y Customize...,Model N Inc,23.67,HEALTHCARE,HCARESUPPORT,23.67,871.43,3.12,-32.7,9.28,0.07,15.34,0.0,,,,41.22,37.36,6.57,46.28,4.18
383,MOFG:USA 3M 1Y 3YMOFG:USA3M1Y3Y Customize...,MidWestOne Financial Group Inc,29.3,FINANCIAL,BANKSUSA,29.3,459.72,0.7,-0.48,3.86,4.64,9.92,3.24,16.66,,0.58,7.98,7.64,0.91,10.32,2.13
384,MOG.A:USA 3M 1Y 3YMOG.A:USA3M1Y3Y Customize...,Moog Inc.,74.89,INDUSTRIAL,AERODEF,74.89,2391.76,3.32,-12.91,-0.31,0.14,5.75,1.39,,,1.29,13.87,12.53,1.68,15.14,0.82
385,MOH:USA 3M 1Y 3YMOH:USA3M1Y3Y Customize...,Molina Healthcare Inc.,251.75,HEALTHCARE,HCARESUPPORT,251.75,14853.25,8.17,2.17,-18.61,0.07,-12.55,0.0,20.89,1.19,28.08,14.58,12.88,5.29,8.08,0.51
386,MOMO:USA 3M 1Y 3YMOMO:USA3M1Y3Y Customize...,Hello Group Inc,5.22,TECH,SOFTW,5.22,1030.49,79.56,-64.45,2.86,-1.68,8.92,12.27,10.59,,,5.9,5.1,0.66,42.11,0.48
387,MOR:USA 3M 1Y 3YMOR:USA3M1Y3Y Customize...,"Morphosys AG, Martinsried",4.94,HEALTHCARE,BIOPHARMASYS,4.94,674.78,1.49,-74.59,-2.37,2.32,3.69,0.0,,,,,,4.28,,3.34
388,MORF:USA 3M 1Y 3YMORF:USA3M1Y3Y Customize...,Morphic Holding Inc,21.91,HEALTHCARE,BIOPHARMASYS,21.91,816.16,8.66,-65.13,-1.88,2.32,4.18,0.0,,,,,,2.6,,43.02
389,MORN:USA 3M 1Y 3YMORN:USA3M1Y3Y Customize...,Morningstar Inc,228.4,TECH,INTERNET,228.4,9768.13,3.14,-7.12,-3.67,-3.11,2.39,0.63,44.99,,66.54,34.1,27.31,7.32,40.22,5.62
390,MOS:USA 3M 1Y 3YMOS:USA3M1Y3Y Customize...,Mosaic Company (The),50.6,MATERIALS,CHEMSPECIAL,50.6,18317.65,186.02,64.07,-17.28,-4.23,-11.22,1.19,13.22,,,3.54,4.71,1.61,19.54,1.34
391,MOTS:USA 3M 1Y 3YMOTS:USA3M1Y3Y Customize...,Motus GI Holdings Inc,0.25,HEALTHCARE,MEDDEVICESOTHER,0.25,13.76,13.86,-75.96,-9.02,-3.2,-2.97,0.0,,,,,,1.5,,35.97
392,MOV:USA 3M 1Y 3YMOV:USA3M1Y3Y Customize...,Movado Group Inc,32.42,CYCLICALS,APPARELPRODUCTS,32.42,733.41,4.77,6.79,-0.55,1.66,5.51,4.32,13.63,,0.05,7.95,7.52,1.65,7.94,0.99
393,MPAA:USA 3M 1Y 3YMPAA:USA3M1Y3Y Customize...,Motorcar Parts of America Inc,13.14,CYCLICALS,VEHICLE,13.14,251.04,1.43,-41.65,-3.88,-2.89,2.18,0.0,21.87,,2.37,6.23,4.78,0.8,,0.39
394,MPC:USA 3M 1Y 3YMPC:USA3M1Y3Y Customize...,Marathon Petroleum Corp,87.29,ENERGY,DOWNSTREAMENERGY,87.29,47573.05,129.96,42.98,-8.85,0.13,-2.79,2.66,,0.77,37.57,6.75,10.36,2.07,14.89,0.37
395,MPLX:USA 3M 1Y 3YMPLX:USA3M1Y3Y Customize...,MPLX LP,28.27,ENERGY,MIDSTREAMENERGY,28.27,28643.39,41.94,-6.45,-5.51,-5.26,0.54,9.98,11.17,2.85,-0.22,8.63,8.38,2.56,35.91,2.88
396,MPW:USA 3M 1Y 3YMPW:USA3M1Y3Y Customize...,Medical Properties Trust Inc,14.36,FINANCIAL,REIT,14.36,8596.99,134.45,-29.16,-20.79,-1.94,-14.73,8.08,21.94,11.47,8.28,7.66,10.92,0.96,,5.4
397,WLY:USA 3M 1Y 3YWLY:USA3M1Y3Y Customize...,John Wiley & Sons Inc.,46.75,CONSUMERSVCE,MEDIAPUB,46.75,2604.4,4.32,-18.51,-7.74,-6.02,-1.68,2.95,22.6,,16.01,12.99,11.69,2.31,18.85,1.27
398,ZD:USA 3M 1Y 3YZD:USA3M1Y3Y Customize...,Ziff Davis Inc,72.14,TECH,INTERNET,72.14,3387.14,7.01,-46.89,-8.22,-3.11,-2.16,0.0,23.99,,-1.6,10.87,9.8,2.03,10.78,2.37
1,DINO:USA 3M 1Y 3YDINO:USA3M1Y3Y Customize...,HF Sinclair Corp,45.0,ENERGY,DOWNSTREAMENERGY,45.0,10045.34,46.86,32.78,-2.93,0.13,3.13,3.56,,0.55,19.09,5.6,7.54,0.97,,0.35
2,ENV:USA 3M 1Y 3YENV:USA3M1Y3Y Customize...,Envestnet Inc,53.0,TECH,INTERNET,53.0,2924.28,12.42,-31.96,-21.38,-3.11,-15.32,0.0,209.63,,,24.33,19.25,3.06,23.81,2.36
3,ENVA:USA 3M 1Y 3YENVA:USA3M1Y3Y Customize...,Enova International Inc,27.42,FINANCIAL,FINSPECIAL,27.42,900.22,6.19,-20.82,-8.72,-6.04,-2.66,0.0,2.65,,2.18,4.35,3.84,0.89,1.99,0.72
4,ENZ:USA 3M 1Y 3YENZ:USA3M1Y3Y Customize...,Enzo Biochem Inc.,2.19,HEALTHCARE,PATIENTCARE,2.19,106.7,1.24,-28.43,-8.75,-2.69,-2.69,0.0,119.38,,,,,1.72,,0.96
5,EOLS:USA 3M 1Y 3YEOLS:USA3M1Y3Y Customize...,Evolus Inc,11.55,HEALTHCARE,BIOPHARMASYS,11.55,647.28,10.34,-16.3,-4.15,2.32,1.91,0.0,,,,,,9.57,,5.3
6,EPAM:USA 3M 1Y 3YEPAM:USA3M1Y3Y Customize...,EPAM Systems Inc,295.68,TECH,TECHCONSULTSVCE,295.68,16893.08,18.81,-42.98,-9.57,-2.94,-3.51,0.0,76.96,1.97,16.7,34.9,23.82,6.83,39.08,4.2
7,EPC:USA 3M 1Y 3YEPC:USA3M1Y3Y Customize...,Edgewell Personal Care Co,32.52,NONCYCLICAL,PERSONALCAREPRODUCT,32.52,1720.15,9.96,-23.01,-7.72,0.36,-1.66,1.85,41.33,12.43,,12.76,11.37,1.17,15.44,0.83
8,EPD:USA 3M 1Y 3YEPD:USA3M1Y3Y Customize...,Enterprise Products Partners LP,23.45,ENERGY,MIDSTREAMENERGY,23.45,51131.63,134.56,-2.49,-11.84,-5.26,-5.78,7.93,14.0,3.23,28.82,9.69,9.2,2.02,18.29,1.15
9,EPRT:USA 3M 1Y 3YEPRT:USA3M1Y3Y Customize...,Essential Properties Realty Trust Inc.,20.78,FINANCIAL,REIT,20.78,2725.33,17.76,-24.71,-5.55,-1.94,0.51,5.2,,2.84,0.01,23.22,22.22,1.2,42.79,10.57
10,EPSN:USA 3M 1Y 3YEPSN:USA3M1Y3Y Customize...,Epsilon Energy Ltd,5.97,ENERGY,FOSSILFUEL,5.97,141.53,4.3,24.63,-14.96,2.26,-8.9,4.19,28.18,,1.56,,,1.7,10.7,3.0
11,EQ:USA 3M 1Y 3YEQ:USA3M1Y3Y Customize...,Equillium Inc,1.75,HEALTHCARE,BIOPHARMAOTHER,1.75,59.98,0.69,-70.64,-30.83,-1.84,-24.77,0.0,,,,,,1.06,,
12,EQC:USA 3M 1Y 3YEQC:USA3M1Y3Y Customize...,Equity Commonwealth,27.71,FINANCIAL,REIT,27.71,3122.1,17.05,-0.36,6.74,-1.94,12.8,0.0,393.2,,,,,1.1,753.82,52.67
13,EQH:USA 3M 1Y 3YEQH:USA3M1Y3Y Customize...,Equitable Holdings Inc,25.89,FINANCIAL,INSURANCE,25.89,9949.9,61.98,-14.61,-6.64,1.28,-0.58,3.09,,0.32,,4.32,3.65,1.59,,0.73
14,EQNR:USA 3M 1Y 3YEQNR:USA3M1Y3Y Customize...,Equinor ASA,34.04,ENERGY,OILGASINTEG,34.04,110479.43,80.76,63.26,-0.82,-1.68,5.24,2.09,,8.54,,5.87,7.16,2.55,3.87,1.02
15,EQR:USA 3M 1Y 3YEQR:USA3M1Y3Y Customize...,Equity Residential,70.39,FINANCIAL,REIT,70.39,26464.81,36.26,-11.3,-4.02,-1.94,2.04,3.55,44.38,6.44,3.99,49.85,41.94,2.54,129.86,11.01
16,EQT:USA 3M 1Y 3YEQT:USA3M1Y3Y Customize...,EQT Corp,35.94,ENERGY,FOSSILFUEL,35.94,13264.52,196.71,76.09,-11.3,2.26,-5.24,1.39,,0.26,,11.24,5.54,1.64,11.79,1.64
17,ERF:USA 3M 1Y 3YERF:USA3M1Y3Y Customize...,Enerplus Corp,14.08,ENERGY,FOSSILFUEL,14.08,3407.36,54.78,96.37,12.01,2.26,18.07,1.18,,,,5.15,3.95,5.9,8.34,1.99
18,ERIC:USA 3M 1Y 3YERIC:USA3M1Y3Y Customize...,Telefonaktiebolaget LM Ericsson,7.43,TECH,COMMEQUIP,7.43,22798.11,180.31,-41.45,-4.38,0.96,1.68,3.33,22.32,1.47,,9.93,8.77,2.06,8.73,0.92
19,ERIE:USA 3M 1Y 3YERIE:USA3M1Y3Y Customize...,Erie Indemnity Co,172.92,FINANCIAL,INSURANCE,172.92,8052.95,1.57,-9.06,6.54,1.28,12.6,2.57,36.67,,34.33,28.87,26.0,6.83,209.62,3.4
20,ERII:USA 3M 1Y 3YERII:USA3M1Y3Y Customize...,Energy Recovery Inc,18.82,INDUSTRIAL,MACHINE,18.82,1067.13,9.26,-9.39,5.2,-0.2,11.26,0.0,29.23,,23.81,43.43,28.52,6.05,285.0,10.18
21,ERJ:USA 3M 1Y 3YERJ:USA3M1Y3Y Customize...,Embraer SA,8.87,INDUSTRIAL,AERODEF,8.87,1629.05,53.58,-45.08,-15.12,0.14,-9.06,0.0,,,,150.22,14.36,0.62,3.37,0.41
22,ES:USA 3M 1Y 3YES:USA3M1Y3Y Customize...,Eversource Energy,77.98,UTIL,ENERGYUTIL,77.98,26891.43,31.29,-3.36,-12.81,-1.39,-6.75,3.27,22.93,2.78,17.06,18.97,17.87,1.82,,2.57
23,ESE:USA 3M 1Y 3YESE:USA3M1Y3Y Customize...,ESCO Technologies Inc.,62.85,INDUSTRIAL,MACHINE,62.85,1626.52,2.53,-31.18,-3.6,-0.2,2.46,0.51,107.11,1.12,8.33,19.97,16.88,1.6,44.61,2.13
24,ESGR:USA 3M 1Y 3YESGR:USA3M1Y3Y Customize...,Enstar Group Ltd,206.49,FINANCIAL,INSURANCE,206.49,3737.68,0.86,-14.02,-9.63,1.28,-3.57,0.0,2.15,,,10.07,8.98,0.66,1.46,12.97
25,ESI:USA 3M 1Y 3YESI:USA3M1Y3Y Customize...,Element Solutions Inc,18.01,MATERIALS,CHEMSPECIAL,18.01,4464.56,24.95,-22.9,-9.63,-4.23,-3.57,1.78,36.42,0.72,,11.49,9.94,1.8,26.23,1.77
26,ESNT:USA 3M 1Y 3YESNT:USA3M1Y3Y Customize...,Essent Group Ltd,36.93,FINANCIAL,INSURANCE,36.93,3993.61,13.42,-19.63,-10.69,1.28,-4.63,2.27,13.5,0.59,2.85,5.24,5.62,0.95,6.49,3.89
27,ESP:USA 3M 1Y 3YESP:USA3M1Y3Y Customize...,Espey Manufacturing & Electronics Corp.,14.54,INDUSTRIAL,AERODEF,14.54,35.49,0.06,-4.18,11.42,0.14,17.48,0.0,,,0.35,,,1.13,,1.08
28,ESPR:USA 3M 1Y 3YESPR:USA3M1Y3Y Customize...,Esperion Therapeutics Inc,5.6,HEALTHCARE,BIOPHARMASYS,5.6,341.93,25.8,-76.93,-9.39,2.32,-3.33,0.0,,,,,,,,3.82
29,ESRT:USA 3M 1Y 3YESRT:USA3M1Y3Y Customize...,Empire State Realty Trust Inc,6.85,FINANCIAL,REIT,6.85,1162.62,32.6,-44.71,-15.01,-1.94,-8.95,2.04,,,,,,1.19,16.79,1.81
30,ESS:USA 3M 1Y 3YESS:USA3M1Y3Y Customize...,Essex Property Trust Inc.,256.08,FINANCIAL,REIT,256.08,16730.29,8.35,-16.9,-9.06,-1.94,-3.0,3.44,44.86,7.49,63.03,50.24,42.47,2.81,32.46,11.4
31,ESTC:USA 3M 1Y 3YESTC:USA3M1Y3Y Customize...,Elastic N.V.,65.26,TECH,SOFTW,65.26,6145.85,29.83,-55.09,9.0,-1.68,15.06,0.0,,,,,274.28,14.74,651.54,7.1
32,ESTE:USA 3M 1Y 3YESTE:USA3M1Y3Y Customize...,Earthstone Energy Inc,16.74,ENERGY,FOSSILFUEL,16.74,1229.4,29.0,45.69,15.13,2.26,21.19,0.0,,0.16,,4.24,3.77,1.37,9.46,1.97
33,ET:USA 3M 1Y 3YET:USA3M1Y3Y Customize...,Energy Transfer LP,9.83,ENERGY,MIDSTREAMENERGY,9.83,30322.6,472.55,-10.72,-11.12,-5.26,-5.06,8.14,7.92,,30.91,6.85,6.55,1.18,8.56,0.43
34,ETD:USA 3M 1Y 3YETD:USA3M1Y3Y Customize...,Ethan Allen Interiors Inc,20.24,CYCLICALS,APPLIANCESFURN,20.24,512.52,7.89,-24.87,-8.83,-2.74,-2.77,6.32,24.52,,-0.65,5.77,6.46,1.35,29.07,0.67
35,ETNB:USA 3M 1Y 3YETNB:USA3M1Y3Y Customize...,89bio Inc,3.19,HEALTHCARE,BIOPHARMAOTHER,3.19,64.92,5.31,-83.09,6.69,-1.84,12.75,0.0,,,,,,0.63,,
36,ETR:USA 3M 1Y 3YETR:USA3M1Y3Y Customize...,Entergy corporation,102.46,UTIL,ENERGYUTIL,102.46,20815.44,23.67,-1.94,-11.42,-1.39,-5.36,3.94,13.68,2.77,13.86,16.2,15.19,1.78,,1.77
37,ETRN:USA 3M 1Y 3YETRN:USA3M1Y3Y Customize...,Equitrans Midstream Corp,6.45,ENERGY,MIDSTREAMENERGY,6.45,2790.77,97.5,-29.28,-14.8,-5.26,-8.74,9.3,9.81,6.04,,11.38,10.36,1.8,5.52,2.19
